2	289	507	363.5	629.5
2	315	449	391.5	559
1	333	380	399.5	480.5
2	350	326	411.5	407
1	357	278	416.5	346.5
1	374	236	430	296.5
1	384	202	434.5	253.5
2	395	176	443.5	221.5
1	405	155	451	197.5
1	189	524	282	631.5
1	291	284	353.5	344.5
1	317	240	371.5	290.5
1	319	210	375.5	256
2	342	182	392.5	223
1	345	154	393.5	191.5
1	131	259	176.5	333
1	161	222	200.5	288
1	181	190	222.5	251.5
2	207	168	246	218.5
2	222	138	260.5	188.5
1	241	120	273.5	169
1	43	278	89	362.5
2	75	235	124	313
1	108	206	152.5	279
1	137	186	178.5	244.5
1	162	159	198.5	213
1	183	138	218.5	188.5
1	201	115	237	166.5
